,hour,updated_type,updated_subtype,binned_latitude,binned_longitude,alert_counts
0,00:00,Accident,Major,41.65,-87.57,1
1,00:00,Accident,Major,41.66,-87.6,3
2,00:00,Accident,Major,41.66,-87.59,1
3,00:00,Accident,Major,41.68,-87.67,1
4,00:00,Accident,Major,41.69,-87.67,2
5,00:00,Accident,Major,41.69,-87.61,3
6,00:00,Accident,Major,41.69,-87.6,1
7,00:00,Accident,Major,41.7,-87.69,1
8,00:00,Accident,Major,41.71,-87.66,1
9,00:00,Accident,Major,41.71,-87.65,4
10,00:00,Accident,Major,41.71,-87.63,2
11,00:00,Accident,Major,41.71,-87.62,7
12,00:00,Accident,Major,41.71,-87.61,2
13,00:00,Accident,Major,41.73,-87.63,9
14,00:00,Accident,Major,41.73,-87.57,1
15,00:00,Accident,Major,41.74,-87.63,2
16,00:00,Accident,Major,41.75,-87.63,5
17,00:00,Accident,Major,41.76,-87.63,4
18,00:00,Accident,Major,41.77,-87.64,2
19,00:00,Accident,Major,41.77,-87.63,3
20,00:00,Accident,Major,41.77,-87.61,1
21,00:00,Accident,Major,41.78,-87.75,1
22,00:00,Accident,Major,41.78,-87.71,1
23,00:00,Accident,Major,41.78,-87.64,2
24,00:00,Accident,Major,41.79,-87.81,2
25,00:00,Accident,Major,41.79,-87.59,1
26,00:00,Accident,Major,41.8,-87.73,1
27,00:00,Accident,Major,41.81,-87.75,2
28,00:00,Accident,Major,41.81,-87.74,2
29,00:00,Accident,Major,41.81,-87.63,2
30,00:00,Accident,Major,41.81,-87.6,1
31,00:00,Accident,Major,41.82,-87.74,1
32,00:00,Accident,Major,41.82,-87.73,1
33,00:00,Accident,Major,41.82,-87.69,2
34,00:00,Accident,Major,41.82,-87.64,1
35,00:00,Accident,Major,41.82,-87.63,2
36,00:00,Accident,Major,41.83,-87.73,1
37,00:00,Accident,Major,41.83,-87.7,1
38,00:00,Accident,Major,41.83,-87.69,2
39,00:00,Accident,Major,41.83,-87.67,1
40,00:00,Accident,Major,41.83,-87.64,5
41,00:00,Accident,Major,41.84,-87.66,1
42,00:00,Accident,Major,41.84,-87.65,2
43,00:00,Accident,Major,41.84,-87.64,4
44,00:00,Accident,Major,41.84,-87.62,3
45,00:00,Accident,Major,41.84,-87.61,1
46,00:00,Accident,Major,41.85,-87.73,1
47,00:00,Accident,Major,41.85,-87.67,1
48,00:00,Accident,Major,41.85,-87.65,8
49,00:00,Accident,Major,41.85,-87.64,1
50,00:00,Accident,Major,41.85,-87.63,1
51,00:00,Accident,Major,41.86,-87.65,12
52,00:00,Accident,Major,41.87,-87.78,6
53,00:00,Accident,Major,41.87,-87.77,1
54,00:00,Accident,Major,41.87,-87.76,4
55,00:00,Accident,Major,41.87,-87.74,1
56,00:00,Accident,Major,41.87,-87.72,1
57,00:00,Accident,Major,41.87,-87.7,2
58,00:00,Accident,Major,41.87,-87.69,2
59,00:00,Accident,Major,41.87,-87.67,4
60,00:00,Accident,Major,41.87,-87.66,3
61,00:00,Accident,Major,41.87,-87.65,4
62,00:00,Accident,Major,41.87,-87.64,1
63,00:00,Accident,Major,41.87,-87.62,1
64,00:00,Accident,Major,41.88,-87.67,1
65,00:00,Accident,Major,41.88,-87.65,10
66,00:00,Accident,Major,41.89,-87.72,1
67,00:00,Accident,Major,41.89,-87.66,5
68,00:00,Accident,Major,41.89,-87.65,1
69,00:00,Accident,Major,41.89,-87.63,1
70,00:00,Accident,Major,41.89,-87.62,1
71,00:00,Accident,Major,41.9,-87.68,1
72,00:00,Accident,Major,41.9,-87.67,6
73,00:00,Accident,Major,41.9,-87.63,1
74,00:00,Accident,Major,41.91,-87.68,1
75,00:00,Accident,Major,41.91,-87.67,6
76,00:00,Accident,Major,41.91,-87.63,1
77,00:00,Accident,Major,41.92,-87.69,1
78,00:00,Accident,Major,41.92,-87.68,3
79,00:00,Accident,Major,41.93,-87.7,1
80,00:00,Accident,Major,41.93,-87.64,1
81,00:00,Accident,Major,41.94,-87.73,1
82,00:00,Accident,Major,41.94,-87.72,3
83,00:00,Accident,Major,41.94,-87.71,1
84,00:00,Accident,Major,41.95,-87.69,2
85,00:00,Accident,Major,41.96,-87.76,5
86,00:00,Accident,Major,41.96,-87.75,1
87,00:00,Accident,Major,41.97,-87.89,1
88,00:00,Accident,Major,41.97,-87.88,2
89,00:00,Accident,Major,41.97,-87.79,1
90,00:00,Accident,Major,41.97,-87.77,6
91,00:00,Accident,Major,41.97,-87.75,1
92,00:00,Accident,Major,41.97,-87.69,1
93,00:00,Accident,Major,41.98,-87.85,1
94,00:00,Accident,Major,41.98,-87.83,1
95,00:00,Accident,Major,41.98,-87.82,4
96,00:00,Accident,Major,41.98,-87.81,4
97,00:00,Accident,Major,41.98,-87.8,2
98,00:00,Accident,Major,41.98,-87.79,1
99,00:00,Accident,Major,41.98,-87.76,2
100,00:00,Accident,Major,41.98,-87.75,3
101,00:00,Accident,Major,41.98,-87.71,1
102,00:00,Accident,Major,41.99,-87.81,1
103,00:00,Accident,Major,41.99,-87.76,1
104,00:00,Accident,Major,41.99,-87.75,1
105,00:00,Accident,Major,41.99,-87.72,1
106,00:00,Accident,Major,41.99,-87.68,1
107,00:00,Accident,Major,41.99,-87.67,1
108,00:00,Accident,Minor,41.65,-87.62,1
109,00:00,Accident,Minor,41.65,-87.56,1
110,00:00,Accident,Minor,41.66,-87.6,1
111,00:00,Accident,Minor,41.69,-87.69,1
112,00:00,Accident,Minor,41.69,-87.6,1
113,00:00,Accident,Minor,41.7,-87.69,1
114,00:00,Accident,Minor,41.7,-87.6,1
115,00:00,Accident,Minor,41.71,-87.64,1
116,00:00,Accident,Minor,41.71,-87.62,1
117,00:00,Accident,Minor,41.72,-87.63,2
118,00:00,Accident,Minor,41.73,-87.67,1
119,00:00,Accident,Minor,41.73,-87.63,1
120,00:00,Accident,Minor,41.74,-87.75,1
121,00:00,Accident,Minor,41.74,-87.74,1
122,00:00,Accident,Minor,41.74,-87.63,1
123,00:00,Accident,Minor,41.74,-87.59,1
124,00:00,Accident,Minor,41.75,-87.64,1
125,00:00,Accident,Minor,41.76,-87.63,2
126,00:00,Accident,Minor,41.76,-87.59,1
127,00:00,Accident,Minor,41.77,-87.71,1
128,00:00,Accident,Minor,41.77,-87.67,1
129,00:00,Accident,Minor,41.77,-87.64,1
130,00:00,Accident,Minor,41.77,-87.63,1
131,00:00,Accident,Minor,41.78,-87.64,2
132,00:00,Accident,Minor,41.78,-87.58,1
133,00:00,Accident,Minor,41.79,-87.81,1
134,00:00,Accident,Minor,41.79,-87.75,1
135,00:00,Accident,Minor,41.79,-87.64,3
136,00:00,Accident,Minor,41.8,-87.75,1
137,00:00,Accident,Minor,41.8,-87.72,1
138,00:00,Accident,Minor,41.8,-87.64,2
139,00:00,Accident,Minor,41.81,-87.75,3
140,00:00,Accident,Minor,41.81,-87.74,1
141,00:00,Accident,Minor,41.82,-87.74,1
142,00:00,Accident,Minor,41.82,-87.72,1
143,00:00,Accident,Minor,41.83,-87.7,1
144,00:00,Accident,Minor,41.83,-87.69,1
145,00:00,Accident,Minor,41.83,-87.68,1
146,00:00,Accident,Minor,41.83,-87.64,2
147,00:00,Accident,Minor,41.83,-87.61,1
148,00:00,Accident,Minor,41.84,-87.65,1
149,00:00,Accident,Minor,41.84,-87.64,3
150,00:00,Accident,Minor,41.86,-87.77,1
151,00:00,Accident,Minor,41.86,-87.65,3
152,00:00,Accident,Minor,41.86,-87.63,1
153,00:00,Accident,Minor,41.86,-87.62,2
154,00:00,Accident,Minor,41.87,-87.77,1
